pic_id,pred,,,,
pic_2012166695,0.002277 ,,,,
pic_2012192944,0.204456 ,,,,
pic_2012194456,0.001863 ,,,,
pic_2012209273,0.992191 ,,,,
pic_2012212638,0.109858 ,,,,
pic_2012244182,0.288763 ,,,,
pic_2012252996,0.246595 ,,,,
pic_2012261018,0.019726 ,,,,
pic_2012275680,0.261072 ,,,,
pic_2012296256,0.270527 ,,,,
pic_2012307073,0.062912 ,,,,
pic_2012310878,0.217770 ,,,,
pic_2012331000,0.846392 ,,,,
pic_2012395164,0.222739 ,,,,
pic_2012408948,0.060780 ,,,,
pic_2012418303,0.010987 ,,,,
pic_2012433286,0.002615 ,,,,
pic_2012463016,0.485553 ,,,,
pic_2012480917,0.980072 ,,,,
pic_2012496158,0.315500 ,,,,
pic_2012502256,0.235829 ,,,,
pic_2012503722,0.051743 ,,,,
pic_2012512050,0.241807 ,,,,
pic_2012539617,0.705035 ,,,,
pic_2012560161,0.577901 ,,,,
pic_2012581677,0.157528 ,,,,
pic_2012585303,0.069005 ,,,,
pic_2012628859,0.012935 ,,,,
pic_2012638736,0.032539 ,,,,
pic_2012676778,0.894027 ,,,,
pic_2012691027,0.826930 ,,,,
pic_2012707518,0.633875 ,,,,
pic_2012711229,0.883768 ,,,,
pic_2012716293,0.059041 ,,,,
pic_2012778223,0.007515 ,,,,
pic_2012784224,0.965326 ,,,,
pic_2012824788,0.064934 ,,,,
pic_2012831518,0.000251 ,,,,
pic_2012848652,0.985866 ,,,,
pic_2012848696,0.858208 ,,,,
pic_2012855240,0.546719 ,,,,
pic_2012862797,0.054589 ,,,,
pic_2012875740,0.058168 ,,,,
pic_2012890173,0.976657 ,,,,
pic_2012892473,0.064128 ,,,,
pic_2012919232,0.425822 ,,,,
pic_2012928649,0.009583 ,,,,
pic_2012937741,0.227192 ,,,,
pic_2012952717,0.002941 ,,,,
pic_2012988233,0.565095 ,,,,
pic_2012992470,0.031310 ,,,,
pic_2013012299,0.066270 ,,,,
pic_2013042072,0.005336 ,,,,
pic_2013043624,0.617191 ,,,,
pic_2013074685,0.705408 ,,,,
pic_2013083156,0.008842 ,,,,
pic_2013086370,0.295104 ,,,,
pic_2013102664,0.727962 ,,,,
pic_2013111933,0.856924 ,,,,
pic_2013148896,0.492074 ,,,,
pic_2013151460,0.248163 ,,,,
pic_2013204182,0.590078 ,,,,
pic_2013235352,0.026066 ,,,,
pic_2013244214,0.010281 ,,,,
pic_2013245805,0.084089 ,,,,
pic_2013262369,0.420408 ,,,,
pic_2013294225,0.035648 ,,,,
pic_2013296929,0.069750 ,,,,
pic_2013296958,0.866821 ,,,,
pic_2013324743,0.346439 ,,,,
pic_2013335134,0.010183 ,,,,
pic_2013339434,0.160889 ,,,,
pic_2013341266,0.487729 ,,,,
pic_2013341819,0.087565 ,,,,
pic_2013361219,0.003746 ,,,,
pic_2013411550,0.061788 ,,,,
pic_2013446749,0.496512 ,,,,
pic_2013475570,0.178509 ,,,,
pic_2013476155,0.001827 ,,,,
pic_2013547287,0.227348 ,,,,
pic_2013553108,0.757425 ,,,,
pic_2013556656,0.068224 ,,,,
pic_2013575487,0.436390 ,,,,
pic_2013581494,0.048358 ,,,,
pic_2013619498,0.000559 ,,,,
pic_2013623779,0.987085 ,,,,
pic_2013643175,0.454450 ,,,,
pic_2013652185,0.997017 ,,,,
pic_2013685829,0.001498 ,,,,
pic_2013715660,0.863507 ,,,,
pic_2013744742,0.948751 ,,,,
pic_2013760472,0.880446 ,,,,
pic_2013765655,0.031062 ,,,,
pic_2013771430,0.033401 ,,,,
pic_2013771446,0.691572 ,,,,
pic_2013796084,0.343188 ,,,,
pic_2013803483,0.097473 ,,,,
pic_2013813607,0.001355 ,,,,
pic_2013839209,0.072578 ,,,,
pic_2013881803,0.048697 ,,,,
pic_2013892829,0.027229 ,,,,
pic_2013905825,0.641000 ,,,,
pic_2013910531,0.787799 ,,,,
pic_2013913006,0.009090 ,,,,
pic_2013926914,0.576417 ,,,,
pic_2013939462,0.012266 ,,,,
pic_2013968362,0.639448 ,,,,
pic_2013976456,0.922509 ,,,,
pic_2013988901,0.011649 ,,,,
pic_2014035150,0.974783 ,,,,
pic_2014061184,0.000023 ,,,,
pic_2014077763,0.680385 ,,,,
pic_2014086656,0.031541 ,,,,
pic_2014088945,0.985947 ,,,,
pic_2014096201,0.034170 ,,,,
pic_2014110584,0.428409 ,,,,
pic_2014158951,0.816025 ,,,,
pic_2014174067,0.119035 ,,,,
pic_2014177567,0.024498 ,,,,
pic_2014189542,0.655674 ,,,,
pic_2014217913,0.952708 ,,,,
pic_2014245276,0.480682 ,,,,
pic_2014245575,0.712631 ,,,,
pic_2014251977,0.953596 ,,,,
pic_2014264294,0.506025 ,,,,
pic_2014267815,0.964343 ,,,,
pic_2014271495,0.112386 ,,,,
pic_2014282719,0.993226 ,,,,
pic_2014332898,0.811095 ,,,,
pic_2014334750,0.156875 ,,,,
pic_2014335105,0.249835 ,,,,
pic_2014346074,0.730425 ,,,,
pic_2014355299,0.000690 ,,,,
pic_2014360333,0.002181 ,,,,
pic_2014380194,0.350138 ,,,,
pic_2014396805,0.875265 ,,,,
pic_2014398165,0.099988 ,,,,
pic_2014419772,0.624479 ,,,,
pic_2014472693,0.580362 ,,,,
pic_2014474516,0.322503 ,,,,
pic_2014479055,0.003829 ,,,,
pic_2014480161,0.204057 ,,,,
pic_2014514551,0.356001 ,,,,
pic_2014524690,0.615983 ,,,,
pic_2014526675,0.074861 ,,,,
pic_2014527909,0.922500 ,,,,
pic_2014546026,0.031772 ,,,,
pic_2014601256,0.893079 ,,,,
pic_2014645696,0.520981 ,,,,
pic_2014659766,0.582247 ,,,,
pic_2014667281,0.973643 ,,,,
pic_2014702424,0.381278 ,,,,
pic_2014707914,0.320586 ,,,,
pic_2014720852,0.451404 ,,,,
pic_2014723554,0.435004 ,,,,
pic_2014723684,0.010781 ,,,,
pic_2014745884,0.018921 ,,,,
pic_2014766408,0.757234 ,,,,
pic_2014776398,0.531149 ,,,,
pic_2014810478,0.716832 ,,,,
pic_2014811997,0.008735 ,,,,
pic_2014831235,0.206513 ,,,,
pic_2014862843,0.172080 ,,,,
pic_2014879589,0.004468 ,,,,
pic_2014899753,0.869989 ,,,,
pic_2014901704,0.039828 ,,,,
pic_2014936269,0.025793 ,,,,
pic_2014936405,0.882843 ,,,,
pic_2014941928,0.000048 ,,,,
pic_2014998269,0.708051 ,,,,
pic_2015000816,0.093119 ,,,,
pic_2015019704,0.650926 ,,,,
pic_2015051061,0.070667 ,,,,
pic_2015053162,0.836465 ,,,,
pic_2015059393,0.004381 ,,,,
pic_2015064119,0.976012 ,,,,
pic_2015089359,0.563824 ,,,,
pic_2015120766,0.072300 ,,,,
pic_2015122325,0.980834 ,,,,
pic_2015143006,0.868873 ,,,,
pic_2015167436,0.037902 ,,,,
pic_2015169779,0.016227 ,,,,
pic_2015172112,0.406875 ,,,,
pic_2015175227,0.707025 ,,,,
pic_2015176000,0.044539 ,,,,
pic_2015189565,0.072912 ,,,,
pic_2015191600,0.370067 ,,,,
pic_2015192134,0.985339 ,,,,
pic_2015212761,0.026582 ,,,,
pic_2015230819,0.002914 ,,,,
pic_2015244138,0.672785 ,,,,
pic_2015251328,0.024012 ,,,,
pic_2015286276,0.001566 ,,,,
pic_2015301079,0.799488 ,,,,
pic_2015319229,0.001710 ,,,,
pic_2015323165,0.011137 ,,,,
pic_2015354275,0.952002 ,,,,
pic_2015385127,0.892832 ,,,,
pic_2015428589,0.767607 ,,,,
pic_2015447616,0.372157 ,,,,
pic_2015458049,0.814399 ,,,,
pic_2015467374,0.996114 ,,,,
pic_2015503965,0.994875 ,,,,
pic_2015506184,0.715169 ,,,,
pic_2015532365,0.716049 ,,,,
pic_2015564858,0.014378 ,,,,
pic_2015589571,0.586838 ,,,,
pic_2015603470,0.937070 ,,,,
pic_2015608115,0.004817 ,,,,
pic_2015625174,0.391204 ,,,,
pic_2015643400,0.170487 ,,,,
pic_2015659391,0.827408 ,,,,
pic_2015689265,0.013018 ,,,,
pic_2015696082,0.959262 ,,,,
pic_2015729308,0.010112 ,,,,
pic_2015730222,0.645521 ,,,,
pic_2015731714,0.035897 ,,,,
pic_2015735915,0.960667 ,,,,
pic_2015742003,0.917167 ,,,,
pic_2015781045,0.001008 ,,,,
pic_2015815372,0.984818 ,,,,
pic_2015825757,0.845987 ,,,,
pic_2015845554,0.426066 ,,,,
pic_2015857874,0.763051 ,,,,
pic_2015861004,0.335214 ,,,,
pic_2015922870,0.715755 ,,,,
pic_2015922965,0.445915 ,,,,
pic_2015926276,0.860025 ,,,,
pic_2015926499,0.160197 ,,,,
pic_2015931624,0.934845 ,,,,
pic_2015943500,0.296774 ,,,,
pic_2015945571,0.692049 ,,,,
pic_2015965753,0.398692 ,,,,
pic_2015987737,0.975197 ,,,,
pic_2016002102,0.159704 ,,,,
pic_2016056805,0.825899 ,,,,
pic_2016085160,0.083121 ,,,,
pic_2016096455,0.056147 ,,,,
pic_2016107266,0.428808 ,,,,
pic_2016125534,0.765988 ,,,,
pic_2016153040,0.638821 ,,,,
pic_2016163529,0.330684 ,,,,
pic_2016177310,0.537322 ,,,,
pic_2016192242,0.983363 ,,,,
pic_2016220991,0.149809 ,,,,
pic_2016221355,0.979955 ,,,,
pic_2016225698,0.041166 ,,,,
pic_2016225840,0.883281 ,,,,
pic_2016225951,0.821136 ,,,,
pic_2016226651,0.015601 ,,,,
pic_2016246073,0.392158 ,,,,
pic_2016250424,0.006809 ,,,,
pic_2016257149,0.684146 ,,,,
pic_2016282117,0.000325 ,,,,
pic_2016305389,0.616316 ,,,,
pic_2016324294,0.904625 ,,,,
pic_2016340569,0.003606 ,,,,
pic_2016348355,0.210729 ,,,,
pic_2016438646,0.428095 ,,,,
pic_2016469996,0.787548 ,,,,
pic_2016472130,0.318482 ,,,,
pic_2016510983,0.014191 ,,,,
pic_2016557632,0.419099 ,,,,
pic_2016558882,0.136972 ,,,,
pic_2016563000,0.004932 ,,,,
pic_2016572604,0.614418 ,,,,
pic_2016579588,0.077612 ,,,,
pic_2016605151,0.810125 ,,,,
pic_2016612297,0.781504 ,,,,
pic_2016623906,0.078111 ,,,,
pic_2016634710,0.326116 ,,,,
pic_2016642669,0.802516 ,,,,
pic_2016658199,0.303535 ,,,,
pic_2016681360,0.919122 ,,,,
pic_2016696551,0.189396 ,,,,
pic_2016702986,0.048714 ,,,,
pic_2016708992,0.681577 ,,,,
pic_2016741299,0.122300 ,,,,
pic_2016765154,0.210396 ,,,,
pic_2016777931,0.953935 ,,,,
pic_2016780765,0.472884 ,,,,
pic_2016790202,0.220946 ,,,,
pic_2016796689,0.520909 ,,,,
pic_2016805819,0.135687 ,,,,
pic_2016809969,0.934928 ,,,,
pic_2016830977,0.368659 ,,,,
pic_2016844833,0.818493 ,,,,
pic_2016847412,0.340645 ,,,,
pic_2016853097,0.890732 ,,,,
pic_2016880862,0.574767 ,,,,
pic_2016881103,0.009257 ,,,,
pic_2016890676,0.935738 ,,,,
pic_2016915746,0.273144 ,,,,
pic_2016919438,0.946170 ,,,,
pic_2016924156,0.429312 ,,,,
pic_2016969207,0.004494 ,,,,
pic_2016976658,0.915242 ,,,,
pic_2016985194,0.004673 ,,,,
pic_2016999510,0.519070 ,,,,
pic_2017011689,0.010768 ,,,,
pic_2017037702,0.836545 ,,,,
pic_2017046579,0.941589 ,,,,
pic_2017073824,0.826992 ,,,,
pic_2017077252,0.296858 ,,,,
pic_2017123437,0.677530 ,,,,
pic_2017167105,0.207733 ,,,,
pic_2017172411,0.370882 ,,,,
pic_2017183350,0.579012 ,,,,
pic_2017196122,0.895918 ,,,,
pic_2017206219,0.601240 ,,,,
pic_2017215713,0.098121 ,,,,
pic_2017239321,0.151653 ,,,,
pic_2017239995,0.006227 ,,,,
pic_2017250426,0.768609 ,,,,
pic_2017256434,0.017624 ,,,,
pic_2017261330,0.918162 ,,,,
pic_2017276280,0.991997 ,,,,
pic_2017283231,0.315619 ,,,,
pic_2017299852,0.014946 ,,,,
pic_2017304601,0.012590 ,,,,
pic_2017304659,0.290657 ,,,,
pic_2017328786,0.003630 ,,,,
pic_2017330428,0.000202 ,,,,
pic_2017349748,0.004860 ,,,,
pic_2017350898,0.664994 ,,,,
pic_2017352596,0.468747 ,,,,
pic_2017372407,0.058313 ,,,,
pic_2017384945,0.926287 ,,,,
pic_2017432493,0.003527 ,,,,
pic_2017474198,0.019048 ,,,,
pic_2017495570,0.729001 ,,,,
pic_2017535708,0.022916 ,,,,
pic_2017583372,0.021588 ,,,,
pic_2017587708,0.954551 ,,,,
pic_2017597439,0.564578 ,,,,
pic_2017601697,0.510383 ,,,,
pic_2017621326,0.821906 ,,,,
pic_2017636074,0.828425 ,,,,
pic_2017649659,0.949122 ,,,,
pic_2017658216,0.917961 ,,,,
pic_2017677074,0.012725 ,,,,
pic_2017685828,0.961303 ,,,,
pic_2017689538,0.028554 ,,,,
pic_2017694541,0.767455 ,,,,
pic_2017729872,0.972400 ,,,,
pic_2017739757,0.952741 ,,,,
pic_2017742999,0.752084 ,,,,
pic_2017779932,0.254370 ,,,,
pic_2017783869,0.347350 ,,,,
pic_2017783909,0.137532 ,,,,
pic_2017789974,0.108375 ,,,,
pic_2017792630,0.084311 ,,,,
pic_2017801181,0.181147 ,,,,
pic_2017838391,0.554062 ,,,,
pic_2017859755,0.822168 ,,,,
pic_2017877880,0.976538 ,,,,
pic_2017881565,0.310323 ,,,,
pic_2017951704,0.278459 ,,,,
pic_2017974090,0.835938 ,,,,
pic_2018032418,0.933248 ,,,,
pic_2018055561,0.573029 ,,,,
pic_2018069189,0.257041 ,,,,
pic_2018074043,0.938211 ,,,,
pic_2018086934,0.429233 ,,,,
pic_2018094563,0.089728 ,,,,
pic_2018128228,0.012001 ,,,,
pic_2018146776,0.162348 ,,,,
pic_2018148594,0.067784 ,,,,
pic_2018170146,0.237173 ,,,,
pic_2018181512,0.681316 ,,,,
pic_2018189735,0.153249 ,,,,
pic_2018210178,0.174142 ,,,,
pic_2018226160,0.469864 ,,,,
pic_2018239349,0.959031 ,,,,
pic_2018247011,0.332320 ,,,,
pic_2018290127,0.035481 ,,,,
pic_2018298711,0.017912 ,,,,
pic_2018329445,0.525571 ,,,,
pic_2018339246,0.286844 ,,,,
pic_2018348448,0.181067 ,,,,
pic_2018367519,0.021234 ,,,,
pic_2018371600,0.387386 ,,,,
pic_2018393033,0.877350 ,,,,
pic_2018445983,0.898341 ,,,,
pic_2018478890,0.061068 ,,,,
pic_2018483671,0.004010 ,,,,
pic_2018513993,0.741977 ,,,,
pic_2018518772,0.001400 ,,,,
pic_2018542667,0.993393 ,,,,
pic_2018558091,0.886159 ,,,,
pic_2018560046,0.126518 ,,,,
pic_2018571997,0.980928 ,,,,
pic_2018574101,0.022160 ,,,,
pic_2018582225,0.781334 ,,,,
pic_2018598170,0.220751 ,,,,
pic_2018618445,0.399741 ,,,,
pic_2018646885,0.842656 ,,,,
pic_2018653876,0.907613 ,,,,
pic_2018655871,0.000419 ,,,,
pic_2018664464,0.001016 ,,,,
pic_2018665228,0.954870 ,,,,
pic_2018683636,0.829870 ,,,,
pic_2018695670,0.967567 ,,,,
pic_2018752243,0.584648 ,,,,
pic_2018761807,0.815956 ,,,,
pic_2018819995,0.330672 ,,,,
pic_2018822827,0.299596 ,,,,
pic_2018823722,0.824159 ,,,,
pic_2018862596,0.280479 ,,,,
pic_2018877925,0.015451 ,,,,
pic_2018882713,0.004497 ,,,,
pic_2018884730,0.097823 ,,,,
pic_2018885423,0.962291 ,,,,
pic_2018891099,0.005756 ,,,,
pic_2018902070,0.181729 ,,,,
pic_2018932876,0.018029 ,,,,
pic_2018961614,0.798651 ,,,,
pic_2018979457,0.328176 ,,,,
pic_2018991848,0.128709 ,,,,
pic_2018992083,0.186412 ,,,,
pic_2018994526,0.191724 ,,,,
pic_2019015975,0.826477 ,,,,
pic_2019022289,0.455136 ,,,,
pic_2019046843,0.961685 ,,,,
pic_2019051807,0.320449 ,,,,
pic_2019055690,0.586193 ,,,,
pic_2019079619,0.027310 ,,,,
pic_2019079970,0.249997 ,,,,
pic_2019081687,0.016141 ,,,,
pic_2019093704,0.727983 ,,,,
pic_2019102613,0.611987 ,,,,
pic_2019111472,0.227692 ,,,,
pic_2019125098,0.333802 ,,,,
pic_2019142152,0.381222 ,,,,
pic_2019154773,0.041595 ,,,,
pic_2019177127,0.931763 ,,,,
pic_2019202690,0.338802 ,,,,
pic_2019225548,0.359177 ,,,,
pic_2019251924,0.917137 ,,,,
pic_2019254882,0.805258 ,,,,
pic_2019255436,0.100983 ,,,,
pic_2019315736,0.846749 ,,,,
pic_2019318775,0.091172 ,,,,
pic_2019374815,0.187816 ,,,,
pic_2019377666,0.065939 ,,,,
pic_2019384888,0.161178 ,,,,
pic_2019397747,0.167082 ,,,,
pic_2019435805,0.068293 ,,,,
pic_2019469724,0.681695 ,,,,
pic_2019483322,0.047541 ,,,,
pic_2019498414,0.890361 ,,,,
pic_2019505475,0.970511 ,,,,
pic_2019513619,0.497222 ,,,,
pic_2019574243,0.012061 ,,,,
pic_2019578710,0.001484 ,,,,
pic_2019581141,0.180904 ,,,,
pic_2019605641,0.786952 ,,,,
pic_2019625966,0.207294 ,,,,
pic_2019657983,0.024062 ,,,,
pic_2019663101,0.007770 ,,,,
pic_2019703457,0.984382 ,,,,
pic_2019711105,0.297564 ,,,,
pic_2019716088,0.641765 ,,,,
pic_2019741674,0.545206 ,,,,
pic_2019761124,0.001073 ,,,,
pic_2019777943,0.631879 ,,,,
pic_2019811901,0.137212 ,,,,
pic_2019821757,0.304501 ,,,,
pic_2019835185,0.001464 ,,,,
pic_2019868914,0.229099 ,,,,
pic_2019878731,0.206135 ,,,,
pic_2019956043,0.192411 ,,,,
pic_2019985218,0.636573 ,,,,
pic_2020004999,0.000427 ,,,,
pic_2020039029,0.495487 ,,,,
pic_2020046192,0.723403 ,,,,
pic_2020047771,0.988792 ,,,,
pic_2020052954,0.047969 ,,,,
pic_2020121848,0.940357 ,,,,
pic_2020132751,0.056489 ,,,,
pic_2020134678,0.034880 ,,,,
pic_2020180209,0.501114 ,,,,
pic_2020186525,0.857461 ,,,,
pic_2020216038,0.244408 ,,,,
pic_2020222769,0.539438 ,,,,
pic_2020224619,0.017729 ,,,,
pic_2020255915,0.688568 ,,,,
pic_2020270982,0.510601 ,,,,
pic_2020273303,0.978442 ,,,,
pic_2020303264,0.113422 ,,,,
pic_2020307419,0.586219 ,,,,
pic_2020314247,0.057261 ,,,,
pic_2020368772,0.312031 ,,,,
pic_2020401957,0.199079 ,,,,
pic_2020427110,0.001209 ,,,,
pic_2020481791,0.026350 ,,,,
pic_2020486968,0.005761 ,,,,
pic_2020496071,0.099037 ,,,,
pic_2020513817,0.006692 ,,,,
pic_2020525914,0.282984 ,,,,
pic_2020555483,0.756321 ,,,,
pic_2020562137,0.165588 ,,,,
pic_2020592302,0.057902 ,,,,
pic_2020624991,0.522670 ,,,,
pic_2020640060,0.001308 ,,,,
pic_2020674548,0.034431 ,,,,
pic_2020709466,0.836172 ,,,,
pic_2020762664,0.336047 ,,,,
pic_2020795515,0.824373 ,,,,
pic_2020803160,0.071704 ,,,,
pic_2020803690,0.138180 ,,,,
pic_2020806956,0.152871 ,,,,
pic_2020818997,0.923517 ,,,,
pic_2020844944,0.557498 ,,,,
pic_2020856432,0.004317 ,,,,
pic_2020862111,0.000043 ,,,,
pic_2020875022,0.007352 ,,,,
pic_2020885605,0.121998 ,,,,
pic_2020919187,0.763589 ,,,,
pic_2020922596,0.664418 ,,,,
pic_2020946909,0.020533 ,,,,
pic_2020954223,0.418235 ,,,,
pic_2020957600,0.077511 ,,,,
pic_2020958936,0.226742 ,,,,
pic_2021045800,0.398048 ,,,,
pic_2021058800,0.074167 ,,,,
pic_2021070047,0.444638 ,,,,
pic_2021078335,0.005722 ,,,,
pic_2021094528,0.999097 ,,,,
pic_2021127498,0.965208 ,,,,
pic_2021133282,0.719395 ,,,,
pic_2021137443,0.128658 ,,,,
pic_2021168707,0.821542 ,,,,
pic_2021186492,0.393841 ,,,,
pic_2021195296,0.030809 ,,,,
pic_2021198378,0.846775 ,,,,
pic_2021202143,0.533517 ,,,,
pic_2021202164,0.679952 ,,,,
pic_2021216362,0.633949 ,,,,
pic_2021221568,0.300629 ,,,,
pic_2021222898,0.098709 ,,,,
pic_2021224977,0.060236 ,,,,
pic_2021246126,0.092877 ,,,,
pic_2021270922,0.972274 ,,,,
pic_2021281982,0.368221 ,,,,
pic_2021286750,0.768987 ,,,,
pic_2021312640,0.354329 ,,,,
pic_2021318043,0.255460 ,,,,
pic_2021386115,0.973171 ,,,,
pic_2021415853,0.811508 ,,,,
pic_2021429843,0.004895 ,,,,
pic_2021438797,0.400451 ,,,,
pic_2021443812,0.295265 ,,,,
pic_2021455163,0.184102 ,,,,
pic_2021459704,0.370988 ,,,,
pic_2021468825,0.450757 ,,,,
pic_2021495864,0.000026 ,,,,
pic_2021495924,0.009028 ,,,,
pic_2021536021,0.973292 ,,,,
pic_2021557934,0.023321 ,,,,
pic_2021589617,0.000069 ,,,,
pic_2021593358,0.991022 ,,,,
pic_2021597573,0.275242 ,,,,
pic_2021605971,0.157324 ,,,,
pic_2021628165,0.888572 ,,,,
pic_2021633080,0.144482 ,,,,
pic_2021634624,0.525565 ,,,,
pic_2021647455,0.395727 ,,,,
pic_2021657925,0.163012 ,,,,
pic_2021705939,0.579549 ,,,,
pic_2021743194,0.219855 ,,,,
pic_2021748374,0.498119 ,,,,
pic_2021758067,0.516591 ,,,,
pic_2021759159,0.824395 ,,,,
pic_2021764731,0.862853 ,,,,
pic_2021767553,0.057737 ,,,,
pic_2021788891,0.983701 ,,,,
pic_2021797997,0.003253 ,,,,
pic_2021798512,0.039812 ,,,,
pic_2021812402,0.060411 ,,,,
pic_2021826721,0.029873 ,,,,
pic_2021828637,0.255636 ,,,,
pic_2021829953,0.077829 ,,,,
pic_2021867707,0.924736 ,,,,
pic_2021900693,0.077039 ,,,,
pic_2021948031,0.141668 ,,,,
pic_2021948454,0.749283 ,,,,
pic_2021949158,0.535184 ,,,,
pic_2021956351,0.011844 ,,,,
pic_2021965471,0.008550 ,,,,
pic_2021969219,0.921733 ,,,,
pic_2021977445,0.019433 ,,,,
pic_2021986841,0.158018 ,,,,
pic_2022005336,0.000768 ,,,,
pic_2022012782,0.070784 ,,,,
pic_2022013916,0.475789 ,,,,
pic_2022022034,0.123729 ,,,,
pic_2022024196,0.015089 ,,,,
pic_2022025735,0.751014 ,,,,
pic_2022056162,0.970581 ,,,,
pic_2022062670,0.898569 ,,,,
pic_2022072756,0.758570 ,,,,
pic_2022081751,0.048495 ,,,,
pic_2022104171,0.588428 ,,,,
pic_2022135564,0.127670 ,,,,
pic_2022142933,0.975623 ,,,,
pic_2022159623,0.968526 ,,,,
pic_2022164909,0.887182 ,,,,
pic_2022242420,0.851479 ,,,,
pic_2022274441,0.157811 ,,,,
pic_2022289819,0.001747 ,,,,
pic_2022296520,0.012136 ,,,,
pic_2022300763,0.000611 ,,,,
pic_2022302364,0.004116 ,,,,
pic_2022319517,0.491495 ,,,,
pic_2022344127,0.005111 ,,,,
pic_2022352059,0.098699 ,,,,
pic_2022357535,0.874746 ,,,,
pic_2022387621,0.001750 ,,,,
pic_2022390554,0.349839 ,,,,
pic_2022440847,0.653329 ,,,,
pic_2022457092,0.023164 ,,,,
pic_2022464824,0.985534 ,,,,
pic_2022471467,0.110277 ,,,,
pic_2022476659,0.000725 ,,,,
pic_2022476901,0.221207 ,,,,
pic_2022549891,0.667109 ,,,,
pic_2022550745,0.819725 ,,,,
pic_2022558483,0.017880 ,,,,
pic_2022560148,0.005394 ,,,,
pic_2022573495,0.975645 ,,,,
pic_2022578373,0.934722 ,,,,
pic_2022588679,0.007690 ,,,,
pic_2022598378,0.066188 ,,,,
pic_2022602680,0.279095 ,,,,
pic_2022608906,0.902378 ,,,,
pic_2022628944,0.031902 ,,,,
pic_2022632546,0.097698 ,,,,
pic_2022633492,0.863464 ,,,,
pic_2022650929,0.255036 ,,,,
pic_2022652549,0.498731 ,,,,
pic_2022657959,0.084892 ,,,,
pic_2022667691,0.423049 ,,,,
pic_2022678169,0.494883 ,,,,
pic_2022689373,0.135913 ,,,,
pic_2022723669,0.657754 ,,,,
pic_2022738535,0.057971 ,,,,
pic_2022750191,0.453431 ,,,,
pic_2022758606,0.936968 ,,,,
pic_2022788724,0.004234 ,,,,
pic_2022831967,0.998090 ,,,,
pic_2022911563,0.088054 ,,,,
pic_2022913657,0.000581 ,,,,
pic_2022931587,0.006193 ,,,,
pic_2022960661,0.516379 ,,,,
pic_2022975540,0.117007 ,,,,
pic_2022990210,0.703832 ,,,,
pic_2022991858,0.441907 ,,,,
pic_2023020865,0.024348 ,,,,
pic_2023079644,0.607754 ,,,,
pic_2023087253,0.780438 ,,,,
pic_2023109573,0.422668 ,,,,
